answer_Q1,answer_Q2,answer_Q3,answer_Q4,answer_Q5,age,gender,occupation
3,1,10,difference-denying,no,22,female,student
2,1,9,difference-honoring,no,24,male,student
2,2,10,difference-denying,no,19,male,student
6,1,8,difference-honoring,no,22,non-binary,student
1,3,7,diffrence-honoring,no,20,male,student
4,1,10,difference-honoring,yes,30,female,university-faculty
5,1,6,difference-removing,no,19,male,student
3,1,7,difference-honoring,no,30,male,university-faculty
1,1,8,difference-denying,no,27,male,university-faculty
3,1,8,difference-honoring,no,19,female,student
